,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Executive Analyst,-1,"Under the direction of the CFO, this position will support the CFO, VP Finance and Procurement, VP Operations& VP Corporate Social Responsibility with specific project work, such as higher-level analytics, research, strategic communication, business planning, assistance with project implementation, presentation preparation, project planning and management work. It will also prepare the Board of Directors’ meeting materials and support the development and execution of strategic and business plans. This position is committed to the success of the organization and its Executive Team requiring a flexible and get it done mentality. Pro-active planner, committed to ensuring the Executive Team has the information and preparedness required to be successful each day. This position requires a positive individual that is approachable, flexible and can manage multiple projects, as well as be a team player. This position needs to be reliable, professional, with a high level of urgency and confidentiality. Absolute alignment with the core values of Bob Barker Company in every interaction.

Essential Functions/Responsibilities
Compile and analyze data and reports. Analyze data and provide recommendations for actions that will improve results. Curious mind, exploring and making recommendations for improvements while using analytics to support recommendations.
Develop strategic communication for internal and external recipients
Manage and assist with implementation of projects across the organization.
Compile and manage communication with the Board of Directors, including quarterly board reports.
Assist with tracking, management and communication of critical projects on business and strategic planning
Represent and support Executive Team as an expert in Bob Barker Company data and how to compile and run reports.
Creating and preparing presentations.
Assist with and represent the company with community involvement initiatives.
Assist with Business Planning and Strategic Planning
Competencies
Exceptional example of BBC Values
A self-starter who sees the big picture - good business sense to understand overall strategy and direction.
Ability to organize analyze large amounts of data.
Impeccable organization - scrupulous about details.
Expert level communication ability - both verbal and written
A proactive mindset to anticipate needs.
Speed - a sense of urgency and bias to action.
Decisiveness born out of insight, judgment and decision-making skills.
Technical prowess with mobile apps, Microsoft Office, PowerPoint, OneNote, Power BI.
Resourcefulness& persistence to accomplish seemingly impossible missions.
Diplomacy and confidentiality born out of emotional intelligence& integrity.
Qualifications
Education: Bachelor’s degree in business related curriculum or equivalent experience required.
Experience: Minimum 2 years of data analysis work. Demonstrated experience in the following areas is required:
Excellent time management skills
Attention to detail
Strong teamwork, initiative and leadership skills
Excellent analytical and decision making skills
Data entry
Solution generator to challenges and opportunities.
Proficiency in MS Word, Excel, PowerPoint and Outlook programs.
Multi-tasking
Strong technology skills
Receive direction and feedback effectively from various sources with different communication styles. Prioritizes work and proactively communicates status.
Able to work with minimal supervision to complete assigned tasks within the workday.
The following experience/knowledge is preferred:
Excel formulas and advanced functions
Advanced knowledge and experience with PowerPoint
Building presentations for other based on little information
Understanding of basic accounting functions including P&L
Administration of software programs
Supporting executives
Physical/Mental Demands:
Requires the ability to be sedentary for extended periods of time
Ability to receive instruction
Ability to maintain confidentiality in all aspects
Requires the knowledge of arithmetic, algebra and mathematics applications
Knowledge of administrative and clerical procedures and systems such as word processing, calendar management software (i.e. Outlook) and ability to learn new software systems that organize information.",3.8,"Bob Barker Co.
3.8","Fuquay-Varina, NC","Fuquay Varina, NC",201 to 500 employees,1972,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),-1
1,Test Analyst - US,-1,"Test Analyst--SOA/API

03/06/2020

Job Description
Infosys is seeking SOA/API Test Analyst. As a QA Test Analyst you will act as a validation and quality assurance professional across the different stages of the Testing lifecycle: you will develop, design and deploy test scripts and cases of complex modules, help set up the test environment and contribute to the requirements documentation and test design for different types of testing. You will have the opportunity to collaborate with some of the best talent in the industry to create innovative high quality and defect-free solutions to meet our clients’ business needs. You will be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.

Required SOA/API Test Analyst Qualifications:
Bachelor’s degree or foreign equivalent required from an accredited institution. Will also consider three years of progressive experience in the specialty in lieu of every year of education.
At least 2 years of Relevant Information Technology experience
U.S. citizens and those authorized to work in the U.S. are encouraged to apply. we are not able to sponsor at this time
Candidate must be located within commuting distance of Raleigh, TX or be willing to relocate to the area. This position may require travel.
Knowledge and experience with full SDLC lifecycle
Experience with SOA Testing methodologies
At least 2 years of experience with application development and support
Preferred SOA/ API Test Analyst Qualifications:
Experience with Test Automation using Selenium including Framework development, Framework maintenance, Framework Optimization, Automation Strategizing, Automation Planning and Automation Test Execution
Experience with Automation Testing tools such as Selenium, UFT
Experience with Java Scripting knowledge is a plus
Ability to communicate complex technology solutions to diverse teams namely, technical, business and management teams
Experience managing team size of 2-3 would be a plus
Excellent verbal and written communication skills
Experience and desire to work in a Global delivery environment
The job entails an extensive amount of travel. The job also entails sitting as well as working at a computer for extended periods of time. Should be able to communicate by telephone, email or face to face.

About Us
Infosys is a global leader in next-generation digital services and consulting. We enable clients in 46 countries to navigate their digital transformation.

With over three decades of experience in managing the systems and workings of global enterprises, we expertly steer our clients through their digital journey. We do it by enabling the enterprise with an AI-powered core that helps prioritize the execution of change. We also empower the business with agile digital at scale to deliver unprecedented levels of performance and customer delight. Our always-on learning agenda drives their continuous improvement through building and transferring digital skills, expertise, and ideas from our innovation ecosystem.

EOE/Minority/Female/Veteran/Disabled/Sexual Orientation/Gender Identity/National Origin

To learn more about Infosys and see our ideas in action please visit us at www.Infosys.com

Auto req ID
55224BR

State / Region / Province
North Carolina

Country
USA

Interest Group
Infosys Limited

Role
Test Analyst - US

Company
ITL USA

Work Location
Raleigh, NC

External Job Title
SOA/API Test Analyst",3.1,"Infosys
3.1","Raleigh, NC","Bengaluru, India",10000+ employees,1981,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Tata Consultancy Services, Accenture, Cognizant Technology Solutions"
2,Jr. Analyst,-1,"At Dominion Energy we love our jobs. That’s right. Love. Every day we go to work filled with passion to be excellent, to creatively problem solve and to innovate. These are exciting days for energy companies, and Dominion Energy aims to shape the future of energy in America. We are looking at all of our work with fresh eyes, retooling everything we do, in every part of the company, to operate more sustainably and to deliver energy more reliably than ever. We are looking for interesting, independent thinkers and doers who can help shape the culture of a forward-looking company that’s proud of its rich legacy. Are you a change agent? Do you think differently? Do you want to fall in love with your job? If you answered “yes,” then read on!

At this time, Dominion Energy cannot transfer nor sponsor a work visa for this position.

This position does not offer relocation assistance.
Job Summary
This position provides entry level analytical expertise to the assigned business unit to include researching, identifying and utilizing existing data sources to conduct various statistical and mathematical analysis to identify and resolve missing/incomplete information, inconsistencies and anomalies in routine research/data analysis with increasing level of independence. Interprets and evaluates routine data analysis results to review with management leading to successful resolution. Participates in conducting surveys, studies, and special project analysis requiring knowledge of analytical practices, problem-solving, and critical thinking. Using spreadsheets and other computer software, generates graphs, charts, reports, and other materials used to convey analysis results to various audiences. Responsible for planning, implementing and maintaining small size and/or participates in medium to large size programs from design to inception. Participates in the collaboration with management and staff to determine analysis scope, data sources, and review results.
Required Knowledge, Skills, Abilities & Experience
0-2 years analytical or related experience.
Must have basic analytical, problem-solving, critical thinking, troubleshooting and mathematical skills.
Ability to effectively manage small projects, be well organized and handle assigned priorities and projects is critical.
Must be able to work independently and as a team member.
Excellent written and verbal communication skills utilizing various communication styles is a must.
Must have basic computer knowledge and skills in Microsoft Office Products.
Must be able to build strong business relationships and collaborate effectively with a variety of employees.
Education Requirements
Bachelor's Degree from a recognized college or university in related field
Working Conditions
Office Work Environment 76 -100%
Other Information
Dominion Energy is an equal opportunity employer and is committed to a diverse workforce. Qualified applicants will receive consideration for employment without regard to their protected veteran or disabled status.

Export Control

Certain positions at Dominion Energy may involve access to information and technology subject to export controls under U.S. law. Compliance with these export controls may result in Dominion Energy limiting its consideration of certain applicants.

Other Information

We offer excellent plans and programs for employees. Employees are rewarded with a competitive salary and comprehensive benefits package which may include: health benefits with coverage for families and domestic partners, PTO, retirement plans, paid holidays, tuition reimbursement, and much more. To learn more about our benefits, click here http://www.scana.com/benefits

Dominion Energy is an equal opportunity employer and is committed to a diverse workforce. Qualified applicants will receive consideration for employment without regard to their protected veteran or disabled status.

You can experience the excitement of our company – it's the difference between taking a job and starting a career.",3.8,"Dominion Energy
3.8","Gastonia, NC","Richmond, VA",10000+ employees,1909,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1
3,Support Analyst - Enterprise,-1,"Overview


Great software requires hard work by incredibly smart people. Esri Support Services has developed an identity by making sure that we're helpful whenever there is a need. As a Support Analyst, you will connect with people to understand their goals and support their quest to impact the world around them positively. Being proactive and resourceful, you will be able to innovate new and creative solutions to solve our most challenging issues internally and externally while working in a dynamic and high performing environment. Be part of a team that provides world-class technical support, ensuring our customers achieve success and make effective, smart geospatial decisions all around the globe.

Responsibilities:
Provide high-quality technical support and customer service to Esri end users through effective communication and efficient troubleshooting
Resolve technical issues related to enterprise GIS servers using Esri tools and other related technologies
Work well in high energy, fast-paced, enthusiastic, positive, and collaborative culture
Maintain comprehensive case documentation in customer relationship management (CRM) system
As a subject matter expert, author and edit knowledge articles available to internal and external users
Identify issues and log defects for software improvements
Work in other technical areas of software support as customer and business needs require
Requirements
Ability to provide outstanding customer service through troubleshooting and analytical skills
Identify, understand, and articulate solutions for customer issues including installation, configuration, and performance of ArcGIS Enterprise and related ArcGIS Enterprise technologies
Aptitude to gain an understanding of systems administration and troubleshooting of multiple operating systems
Ability to patiently communicate technical information clearly and concisely
Ability to learn new concepts quickly, retain large amounts of information, and adapt to a changing work environment
Proficient written and verbal communication abilities with a strong grasp of the English language including grammar, punctuation, and consistency
Strong prioritization skills including managing time and workload efficiently
Bachelor’s in GIS, geography, environmental science, computer science, management information systems, or other relevant fields, depending on position level (master’s preferred)
Recommended Qualifications:
Background in software support or technical customer service with the direct end-user contact
A clear understanding of ArcGIS Enterprise architecture, applications, and functionality, including caching, geoprocessing, and geocoding
Working knowledge of Esri products to include: ArcGIS Pro, Web AppBuilder for ArcGIS, Collector for ArcGIS, ArcGIS GeoEvent Server, ArcGIS Image Server, ArcGIS Online, ArcGIS Business Analyst, and mobile device/applications usage related to GIS
The Company


Our passion for improving quality of life through geography is at the heart of everything we do. Esri’s geographic information system (GIS) technology inspires and enables governments, universities, and businesses worldwide to save money, lives, and our environment through a deeper understanding of the changing world around them.

Carefully managed growth and zero debt give Esri stability that is uncommon in today's volatile business world. Privately held, we offer exceptional benefits, competitive salaries, 401(k) and profit-sharing programs, opportunities for personal and professional growth, and much more.

Esri is an equal opportunity employer (EOE) and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability status, protected veteran status, or any other characteristic protected by law.

If you need a reasonable accommodation for any part of the employment process, please email humanresources@esri.com and let us know the nature of your request and your contact information. Please note that only those inquiries concerning a request for reasonable accommodation will be responded to from this e-mail address.",3.6,"Esri
3.6","Charlotte, NC","Redlands, CA",1001 to 5000 employees,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes
4,BUSINESS ANALYST,-1,"SUMMARY: Business Analyst will leverage their technical and business analysis skills to design, develop, and implement advanced analytics solutions. Will work with operations and IT to understand objectives, integrate data through multiple sources, and develop automated reports/dashboards that support business needs.

ESSENTIAL DUTIES & RESPONSIBILITIES include the following; other duties may be assigned:
Collaborate with various stakeholders to integrate data from multiple source systems and streamline the delivery of information across the organization
Extract reports from multiple sources (client database, operations, IT, etc.), perform data cleansing and standardization, create visualizations to convey findings through reports and dashboards
Work with structured, semi-structured and unstructured data sets, perform ad-hoc queries using programming languages (SQL, Python, R, C/C++), to generate reports with actionable business insights
Design, develop, and implement data models, implement strategies for effective data analysis utilizing CRM (Site Tracker) and BI tools including Power BI, Tableau, etc.
Apply industry knowledge to improve performance, work with business units to determine gaps and inefficiencies, identify opportunities to automate customer reports and close-out packages
Harness creativity to render information useful in data storytelling
QUALIFICATION REQUIREMENTS

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed below are representative of the knowledge, skill and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
Experience in writing complex relational and multidimensional database queries with the ability to collect, organize, analyze, and disseminate significant amounts of data from multiple sources
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Knowledge and experience with programming languages – SQL, Python, R, C/C++; familiar with CRM tools and BI platforms – Tableau, Power BI, etc.
Experience with reporting packages, databases, Microsoft BI stack (SSRS, SSAS, SSIS)
Expert level knowledge of MS Excel, (advanced formulas, VBA macros, pivot tables, data visualization, etc.)
Knowledge of operations and/or logistics to be able to identify areas for improvement
EDUCATION and/or EXPERIENCE

Undergraduate degree in data analytics, computer science, mathematics, MIS or related field. 5+ years of experience in analytics with 3+ years of experience in data architecture and warehousing.

KGPCo is an Equal Opportunity Employer – M/F/Veteran/Disability/Sexual Orientation/Gender Identity

""",2.4,"KGPCo
2.4","Raleigh, NC","Faribault, MN",1001 to 5000 employees,1973,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,-1
5,Benefits Analyst,-1,"WHY CONSTELLIS?

Are you ready for your next adventure? From down range to corporate positions around the world, we provide you with opportunities to grow your career while helping to make the world more secure.

Constellis provides opportunities across every major continent for individuals who want to build successful careers in a fast-paced, growing industry. Legal, moral and ethical business practices remain at the cornerstone of our culture and Constellis continues to be recognized for our emphasis on quality and compliance. This strong track-record of performance is supported by our deep relationships with our government and commercial customers. Our employees worldwide, the majority of whom are military or law enforcement veterans, have ambition and passion for creating a safer world. Join us to Secure Success!

RESPONSIBILITIES

Provides administrative and technical support in the development, implementation, and maintenance of the global company's benefits programs. Processes and administers the company's benefits programs including: medical, dental, vision, EAP, spending accounts, life and disability insurance programs and retirement plans. Ensures programs are current with regard to trends, practices and costs. Resolves employee issues with regard to benefits matters. Works on system between HRIS solution and insurance providers and carriers. Administers and communicates the company's benefits programs in regards to the plan options, policy features and other requirements.
Administers benefits programs including fulfillment of reporting requirements, monitoring and coordination of contracts and documents and coordination of general day-to-day administration of retirement and other health and welfare insurance plans.
Suggests and implements claims control techniques to ensure maximum effectiveness; coordinates and follows-up on all data preparation, record keeping, recording, reporting and filing of claims applicable to employees.
Audits data records to ensure accuracy of reports and invoices; arranges for timely flow of benefits payments.
Coordinates and administers the retirement 401k saving plan including annual audit and reporting requirements.
Consults with representatives of various insurance companies relative to interpretation of insurance contracts.
Recommends changes to benefits programs which are beneficial to employees; develops cost information applicable to changes.
Assists in the preparation and analysis of benefits surveys.
Performs required insurance-related reports.
Performs ongoing administration of the benefits portion of the global Human Resources Information System to support short- and long-range Human Resources goals.
Establishes data tables, structures, files, interface requirements and data integrity protocols for ongoing administration.
Other duties as assigned.
QUALIFICATIONS
Bachelor's degree in Human Resources or related field preferred.
Minimum of 3 years of experience in a benefits administration role.
Knowledge of benefit structures and applicable laws required.
Must be proficient in MS Office.
ADP Vantage experience preferred.
Ability to handle multiple priorities, work independently, with good organizational, communication and interpersonal skills.
Self-motivation, eagerness to grow professionally, and commitment to self-development.
ABOUT CONSTELLIS

Constellis protects critical priorities safely and efficiently around the world. Operating in 40 countries and based in the Washington D.C. area, our 22,000 Constellis employees bring unparalleled dedication and passion for creating a safer world and upholding the highest standards of compliance, quality and integrity. As a leading global provider of risk management, security, humanitarian, training and operational support services to government and commercial customers worldwide, Constellis' forward thinking solutions include a range of synergistic services, including background investigations, social intelligence tools, advanced training, logistics and life support, UAV and K9 services, and crisis response mitigation. At Constellis, our number one priority is to secure success for our customers. For more information, visit www.constellis.com

BENEFITS

Constellis offers a comprehensive, total rewards package that includes competitive compensation and a flexible benefits package that reflect its commitment to creating a diverse and supportive workplace.
Medical, Vision & Dental Insurance
Paid Time-Off Program & Company Paid Holidays
401(k) Retirement Plan
Insurance: Basic Life & Supplemental Life
Health & Dependent Care Flexible Spending Accounts
Short-Term & Long-Term Disability
Personal Development & Learning Opportunities
On-the-job Training, Skills Development & Certifications
Employee Referral Program
Corporate Sponsored Events & Community Outreach
WORKING CONDITIONS

Work is typically based in a busy office environment and subject to frequent interruptions. Business work hours are Monday-Friday from 8:00 am to 5:00 pm, however some extended or weekend hours may be required.

PHYSICAL REQUIREMENTS

May be required to lift and carry awkward items weighing up to 25 lbs. Requires intermittent standing, walking, sitting, squatting, stretching and bending throughout the workday.

#constellis

#LI-MS1

Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled",2.7,"Constellis
2.7","Moyock, NC","Herndon, VA",10000+ employees,2010,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,-1
6,Investment Analyst - Charlotte - 8740,-1,"At Cortland, you map the story of your success. We don't adhere to the status quo, we love outside industry perspective, and we thrive on exploring possibilities and reimagining solutions. As an innovative leader in multifamily, our high performance continues to drive exponential growth – and we invite you to join us on our journey towards real estate excellence. With tools and guidance to sharpen your skills, you can forge your own career path, love what you do, and let it show.

Investment Analyst - Charlotte

At Cortland, you map the story of your success. We don't adhere to the status quo, we love outside industry perspective, and we thrive on exploring possibilities and reimagining solutions. As an innovative leader in multifamily, our high performance continues to drive exponential growth – and we invite you to join us on our journey towards real estate excellence. With tools and guidance to sharpen your skills, you can forge your own career path, love what you do, and let it show.

Role Overview

As an Investment Analyst, you support the development and acquisition of multimillion dollar, multifamily apartment home communities through quantitative analysis, modeling, and reporting. Here are the roles you'll play:

The Model Builder
•Create abstract representations of real-world financial environments and behaviors
•Use financial projection models to monitor performance of investments relative to market conditions and specific business plans
•Help forecast sales and underwrite for the development, acquisition, and disposition of various real estate investments

The Reports Guru
•Methodically arrange remarkable amounts of detailed information into super-organized reports – it’s your superpower!
•Prepare investment briefs, committee materials, investor reports, and so much more
•Clearly communicate property and portfolio results, including valuations of real estate assets based on the latest debt and equity sources
•Double-check your work so team members are confident that your numbers are always spot on

The Number Cruncher
•Manipulate and organize numerical data so that astute inferences can be drawn from it
•Conduct market research that will allow you to analyze supply/demand and rent/sales comparables, including estimated replacement cost
•Review operating and capital budgets for the Operations group and execute the business plan for the Investments team

The Impact You Can Make
•The Director of Investments looks forward to seeing your well-developed models, insightful reports, and in-depth analyzations.
•Investors have a crystal-clear picture of how their assets are performing thanks to your continuous and clear communication.
•You’re so effective in collaborating with a wide variety of roles – not to mention a wide range of personalities – that there’s talk of nominating you for office mayor!

Your Building Blocks of Success
•Bachelor’s degree in finance, real estate, business, or related field
•Great interpersonal, written, and verbal communication skills
•Excellent quantitative, analytical, and problem-solving skills – able to create comprehensive financial models
•Extraordinary organizational and strategic planning skills

At Cortland, we create, reimagine, and manage apartment communities for residents nationwide. Headquartered in Atlanta, GA, we have communities and regional offices all over the country, as well as overseas. From product design and procurement to general contracting and property management, we do it all – to make sure our communities are the perfect setting for living life to its fullest.

Our success is fueled by our belief in a better life – where hospitality is always a given, each detail is worth a second thought, and every open door is a new opportunity to go beyond expectations. We come to work every day to create possibilities for people – possibilities that translate into superior living spaces and experiences designed to inspire our residents, associates, and investors to live a better life focused on what matters most to them.

Cortland is an equal opportunity employer, and we’re proud to support and celebrate diversity in the workplace. We are committed to equal consideration for all qualified applicants regardless of race, color, religion, gender, sexual orientation, gender identity or expression, national origin, age, disability, protected veteran status, genetic information, or any other characteristic protected by applicable law. If you have a disability and need an accommodation or assistance with the application process and/or using our website, please email talentresources@cortland.com or call 404.965.3988.

Cortland is a drug-free workplace.

Cortland participates in e-verify to verify the employment status of all persons hired to work in the United States.",3.9,"Cortland
3.9","Charlotte, NC","Atlanta, GA",1001 to 5000 employees,2005,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,"Bozzuto, Greystar, AvalonBay Communities"
7,Pricing Analyst,-1,"RTI’s Proposals and Contracts Team is seeking qualified
candidates for a full-time Pricing Analyst.
The position will work with a diverse team of proposal managers, capture
managers, strategic pricing analysts, and contract negotiators in responding to
solicitations for contracts and grants in support of the International
Development Group (IDG). This position reports to the Director of Proposals and
Pricing. The primary role of this position will be competitive budget/pricing
development and preparation of business proposals. This position will be located in Research
Triangle Park, NC or Washington, DC.

Essential
Duties and Responsibilities
Collaborate to prepare
competitive budget concepts and business proposals in coordination with
other members of the proposal team while remaining compliant with the
Request for Proposal (RFP) and RTI internal policies
Review Request for
Proposals/Applications (RFP/RFAs) to determine proposal requirements and
identify issues which may require client clarification, and solicit input
on appropriate budget approach needed to meet costing requirements and
needs
Prepare accurate and
competitive price or cost estimate using financial forecasting software
and excel analysis and obtain necessary review by project management team
Assess proposal
opportunities for financial, contractual, and business risk to develop
risk mitigation strategies and engage in planning, strategy, and process
surrounding business proposals.
Assemble business proposal
package based on a variety of contract types and client presentation
formats for Contract Negotiator review and signature
Knowledge
and Experience Requirements:
Bachelor’s degree in Business
Administration, Finance, Economics or related with 3 years of related experience or
Master’s degree and 1 year of experience
Related experience includes
experience in pricing, government contracting, financial analysis, project
management, and risk assessment
Experience in government
contracting business and USAID projects/proposals preferred.
Knowledge of, and ability to
interpret, utilize and apply, US Government, DFID and other donor
regulations is preferred.
Ability to obtain proper
security clearances as noted by contracts.
Applicants must be legally
authorized to work in the United States and should not require now, or in
the future, sponsorship for employment visa sponsorship.
Must have demonstrated ability in the
following:
Ability to work closely
within a trusted team environment where sharing and teamwork are valued.
Ability
to work in a fast paced environment, sometimes under pressure; proactive,
resourceful and efficient, with a high level of professionalism.
Excellent project
management, organizational; including strong written and verbal
communication skills.
Critical thinker that can
identify and understand issues, problems and opportunities from disparate
sets of information and provide clear conclusions and guidance.
Utilizes
his/her experience, knowledge and presence to generate results and
influence others.
Ability
to quickly assess and prioritize competing demands, while maintaining
exemplary customer service.
Possesses
the highest level of integrity and trust.
Is
curious and engages in the business with a positive, winning attitude.
#LI-KW1",4.3,"RTI International
4.3","Durham, NC","Research Triangle Park, NC",1001 to 5000 employees,1958,Nonprofit Organization,Research & Development,Business Services,$500 million to $1 billion (USD),"Westat, Abt Associates, Chemonics International"
8,Geospatial Intelligence Analyst (Active TS SCI),-1,"APEX bridges the gap between sensor and analyst in the evolving field of intelligence analysis. APEX tightly couples analysts, operators, and engineers to produce an unmatched level of problem-solving capacity for any situation.

Spanning various disciplines, including geospatial intelligence (GEOINT), signals intelligence (SIGINT), and human intelligence (HUMINT) analysis, APEX analysts, operators, and engineers work with operational mission partners to deliver novel technology, tactics, techniques, and procedures (T3P), relevant and modern training, and innovative technology solutions.

If you are a motivated individual willing to tackle challenging, and interesting problems, come be a part of our dynamic team!

APEX Expert Solutions is seeking a Geospatial Intelligence Analyst to join their team at the customer site in Fort Bragg, NC. This is a great opportunity for someone that wants to make a difference in the defense of the nation by applying their talents and experience in a fast-paced dynamic environment in support of US Special Operations Command. The opportunity is limited to those that have the operational and technical experience, and skills to effectively apply geospatial practices in support of real-world operations. You will be an integral part of a selective professional geospatial team that is directly part of the operational planning cycle to support mission success.

You will perform full spectrum geospatial analysis in support of complex geospatial, topographic, and imagery problem sets in support of global real-world operations. You will be required to communicate analytical assessments clearly and succinctly both written and orally, and present analysis products from creative analytical techniques in an operational environment. You will use their technical expertise and experience of Processing, Exploitation, and Dissemination (PED) of ground feature data and remotely sensed data such as Multi-Spectral Imagery (MSI), Light Detection and Ranging (LiDAR), and Electro-Optical Imagery to support the operational customer. You will be required to work in dynamic fast paced environments that requires both team interaction and individual efforts. You must be experienced in interfacing with both internal and external leadership.

Specifically, the Geospatial Intelligence Analyst will be responsible to fuse mutli-discipline intelligence sources to provide accurate and timely geospatial analysis in direct support of multiple geographically dispersed DoD organizations. You are the interface to the operational elements to ensure the operational commander's goals are accomplished through the synchronization of the geospatial enterprise. You will use your knowledge and intelligence acumen to provide critical recommendations to operational decision makers. You will work the full spectrum of the problem set utilizing advanced geospatial capabilities and techniques to complete the mission.You will be challenged daily to expand your knowledge and understanding of operational application of geospatial practices with multiple disciplines.

Required:

• Minimum of six years of analytical experience within DOD or relevant non-DOD employers, with four out of the previous six years of actual hands on experience
• Experience directly supporting military operations in both garrison and deployed environments
• Experience and ability to interact professionally with senior leaders of internal and external organizations
• Experience and working knowledge of geospatial and intelligence data management within a variety of OGC compliant applications and databases
• Experience and proficiency utilizing GIS applications and intelligence related automation to support analytical efforts and product development
• Experience with imagery analysis and production to include a broad understanding of collection processes and management
• Experience with geospatial processing and development of new methodologies to solve complex tactical intelligence problems.

Desired:
• Experience in the production of fused multi-discipline geospatial assessments
• Experience and knowledge of geospatial techniques in the Find Fix Finish Exploit Analyze (F3EA) cycle
• Working knowledge of computer scripting languages such as Python, Java Script, HTML, R, or SAS

Clearance Level:
Active TS SCI clearance

APEX Expert Solutions Diversity Commitment
To harness the power of innovation, Apex Expert Solutions invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company.

Apex Expert Solutions is committed to the principles of Equal Employment Opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are interested in applying for employment with Apex Expert Solutions and are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to info@apexxs.com. Requests for reasonable accommodation will be considered on a case-by-case basis.

EOE AA M/F/Vet/Disability:

Qualified applicants will receive consideration for employment without regards to their age, race, religion, national origin, gender, sexual orientation, gender identity, protected veteran status or disability.",4.7,"Apex Expert Solutions
4.7","Fort Bragg, NC","Chantilly, VA",51 to 200 employees,2011,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $5 million (USD),-1
9,Sales Analyst - Rebates,-1,"Sales/Commercial Analyst

About the Role


The Sales Rebate/Commercial Analyst will support the Commercial Excellence team with various tasks including distributor rebate processing and reconciliation, data entry, generating reports, communicating with our distributor partners, and collaborate with internal teams including Revenue Management and the Sales organization.

We’re looking for people who embody our values, aren’t afraid to challenge, innovate, experiment, and move at a fast pace. We’re always looking for ways to improve our products and ourselves. If this is you, we’d love to talk.

What You Will Do
Collaborate with Sales representatives and other individuals within Finance to identify and resolve customer disputes.
Assure timely processing of rebates from validation of sales data and rebate submission through reconciliation and final payment to distributor
Assure timely and accurate accruals of rebates at the end of each month
Ensure customer alignment with tracings records
Work with field sales and contract administration to fulfil and measure performance of contracts
Facilitate the contract process to ensure contract compliance
Assure all appropriate policies, processes and audit controls are in place and enforced with internal and external parties
Provide backup support to other functional areas in department, as needed
Operate in a manner consistent with Essity Beliefs and Behaviors
Perform other responsibilities as deemed necessary
Who You Are
Bachelor’s Degree required; preferably in Finance or Accounting
At least three years of analytical experience
Experience with off-invoice contract pricing, rebate chargeback procedures, program analysis, or related fields strongly preferred
Demonstrated ability to interact effectively with key internal and external stakeholders
Experience running reports in Vistex, SAP or large ERP system
Strong data analysis experience
Knowledge of SAP data systems
Familiarity with pricing contracts
Strong Excel and database skills (Access and/or SQL experience a plus)
Excellent interpersonal communication skills
Able to self-manage time and deadlines
What We Can Offer You


At Essity, we believe every career is as unique as the individual and empower employees to reach their full potential in a winning culture motivated by a powerful purpose.
Collaborative and caring Work Environment | Empowerment | Job Impact | Work with a Powerful Purpose | Individual Learning and Development | Health & Safety | Social Responsibility | Innovation

#LI-Essity

Additional Information


Essity is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, religion, color, national origin, sex, age, status as a protected veteran, among other things, or status as a qualified individual with disability. EEO Employer M/F/Vet/Disabled.

Together, we are improving lives, every day.


Working at Essity is not just a career; it is a chance to directly make the world a healthier, more hygienic and safer place. With impactful innovations coupled with sustainable solutions, we strive to reach more people every year with the necessary and essential solutions for well-being.
Application End Date:
09 Mar 2020",3.7,"Essity
3.7","Charlotte, NC","Stockholm, Sweden",10000+ employees,1929,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),-1
